Job_Title,Industry,Company_Size,Location,AI_Adoption_Level,Automation_Risk,Required_Skills,Salary_USD,Remote_Friendly,Job_Growth_Projection,AI_Impact_Score,Tasks_Automated_Pct
Business Analyst,Government,Medium,Austin,Medium,High,"Machine Learning, Tableau, Financial Modeling, Cybersecurity",58145,No,Decline,82,97
Financial Analyst,Education,Large,Denver,Medium,High,"Communication, Excel, UX Research, NLP, Cloud Computing",63787,Yes,Stable,100,90
Legal Advisor,Finance,Medium,Austin,Medium,High,"NLP, Deep Learning, DevOps, Marketing Strategy, Machine Learning",42395,Yes,Decline,83,91
Supply Chain Manager,Manufacturing,Small,Remote,Low,Low,"Tableau, Data Analysis, NLP, Python, Marketing Strategy",93394,Yes,Decline,26,23
DevOps Engineer,Government,Large,Boston,High,Low,"Communication, Excel, NLP, Python, Java",103832,Yes,Growth,36,33
Cybersecurity Analyst,Government,Small,Atlanta,High,High,"Cybersecurity, Tableau, Machine Learning, UX Research, Deep Learning",59341,No,Stable,54,47
Legal Advisor,Transportation,Small,Los Angeles,Low,Medium,"NLP, Cloud Computing, Excel, UX Research",78935,Yes,Stable,51,56
DevOps Engineer,Government,Medium,Denver,Medium,High,"Financial Modeling, SQL, UX Research",65267,No,Stable,68,69
Business Analyst,Education,Small,Atlanta,Medium,Low,"Machine Learning, NLP, Deep Learning, Data Analysis",121847,Yes,Growth,31,20
Healthcare Administrator,Government,Small,Denver,Low,Medium,"Cloud Computing, Deep Learning, Leadership, Financial Modeling",67172,No,Stable,71,49
Sales Manager,Finance,Small,Remote,Low,Low,"DevOps, Financial Modeling",99420,No,Growth,27,23
Machine Learning Engineer,Healthcare,Medium,Boston,Low,Low,"Machine Learning, Data Analysis, UX Research",106997,No,Stable,27,28
Healthcare Administrator,Finance,Large,Austin,High,High,"Machine Learning, Cybersecurity",71649,No,Stable,75,70
Software Engineer,Retail,Large,Seattle,Medium,Medium,"Machine Learning, Cybersecurity, Java",85275,No,Growth,50,48
Legal Advisor,Technology,Large,San Francisco,Medium,Medium,"Cybersecurity, Communication",89121,No,Decline,56,57
Data Scientist,Government,Medium,Remote,Low,Low,"Tableau, Project Management",71083,No,Stable,32,24
Software Engineer,Finance,Medium,Denver,High,Low,"Marketing Strategy, Financial Modeling, Cybersecurity, SQL",95766,Yes,Growth,10,0
Data Scientist,Healthcare,Large,Boston,Medium,Low,"Financial Modeling, Deep Learning, Power BI, Data Analysis, Java",87513,Yes,Growth,18,16
Logistics Coordinator,Healthcare,Medium,Los Angeles,Low,High,"Cloud Computing, NLP, Marketing Strategy",50886,No,Stable,78,75
Healthcare Administrator,Retail,Small,Remote,Medium,Medium,"Cloud Computing, NLP",69852,No,Stable,39,17
Cybersecurity Analyst,Transportation,Small,Austin,Medium,Medium,"Power BI, Marketing Strategy, Cybersecurity, Financial Modeling",93271,No,Stable,51,54
Financial Analyst,Retail,Medium,Boston,Medium,High,"Cybersecurity, UX Research, Project Management",61098,No,Stable,71,71
Supply Chain Manager,Energy,Small,Atlanta,Medium,Medium,"UX Research, Python, Deep Learning, Java, DevOps",76295,Yes,Growth,47,29
Product Manager,Manufacturing,Large,New York,High,Medium,"Excel, DevOps, UX Research, Python, Leadership",90580,No,Stable,48,50
Financial Analyst,Government,Medium,Remote,High,High,"Agile, Power BI, SQL",62703,Yes,Decline,95,87
Supply Chain Manager,Finance,Large,Remote,Low,Low,"SQL, Python",88534,No,Growth,16,12
HR Manager,Education,Medium,Los Angeles,High,Low,"UX Research, Cloud Computing, Project Management, Agile, Leadership",92897,Yes,Stable,21,9
Marketing Analyst,Energy,Medium,Boston,Medium,Low,"Python, Java, Data Analysis",99151,No,Growth,23,12
Financial Analyst,Transportation,Medium,Seattle,Medium,Low,"Tableau, Deep Learning, Marketing Strategy, DevOps",103144,No,Growth,28,3
Graphic Designer,Government,Large,Seattle,Low,High,"Excel, Data Analysis, SQL, NLP, Tableau",40880,No,Stable,75,56
Business Analyst,Healthcare,Large,New York,Medium,High,"Financial Modeling, Agile",62899,No,Decline,73,62
Graphic Designer,Government,Large,Chicago,Medium,Low,"Agile, Financial Modeling",87588,No,Growth,12,12
Legal Advisor,Manufacturing,Small,New York,Medium,High,"Python, Java, UX Research, Power BI",60385,No,Stable,69,44
Product Manager,Manufacturing,Large,Remote,Medium,Medium,"UX Research, Financial Modeling, SQL",76565,No,Decline,61,72
Business Analyst,Transportation,Medium,Chicago,Low,Medium,"Excel, Cybersecurity",54231,No,Growth,71,57
Customer Service Rep,Healthcare,Small,Austin,Medium,Medium,"Leadership, Power BI, Cybersecurity",76114,No,Growth,37,19
Legal Advisor,Energy,Medium,Remote,High,Medium,"Project Management, Power BI, Data Analysis",88268,Yes,Stable,58,56
Graphic Designer,Media & Entertainment,Large,Los Angeles,Medium,High,"DevOps, Cybersecurity, Communication",53744,No,Growth,94,85
UX Designer,Manufacturing,Medium,Remote,Medium,Low,"Marketing Strategy, Communication",72978,Yes,Decline,15,8
Sales Manager,Manufacturing,Small,Atlanta,Medium,Low,"Java, Cybersecurity",88288,Yes,Stable,24,24
Cybersecurity Analyst,Retail,Small,Atlanta,Medium,Medium,"Leadership, Project Management, Agile",61238,No,Growth,32,15
Legal Advisor,Transportation,Small,Denver,High,Low,"Python, Excel, Leadership",91565,No,Stable,26,27
Healthcare Administrator,Energy,Small,New York,Medium,Low,"Python, Deep Learning, Project Management",114252,No,Growth,30,22
Logistics Coordinator,Energy,Small,Chicago,Medium,Medium,"Cybersecurity, Power BI, Machine Learning, Project Management, Agile",101422,No,Growth,62,62
Cybersecurity Analyst,Energy,Medium,New York,Low,Low,"Marketing Strategy, NLP, Tableau, Project Management, Machine Learning",79641,No,Growth,14,12
Sales Manager,Education,Large,Chicago,Low,High,"Deep Learning, SQL",65730,Yes,Growth,69,62
Product Manager,Media & Entertainment,Medium,New York,Medium,Medium,"Communication, Tableau",58559,Yes,Stable,55,43
Financial Analyst,Education,Medium,Denver,High,Medium,"Cybersecurity, Python, Deep Learning, Agile",83413,No,Stable,49,38
Product Manager,Media & Entertainment,Medium,Atlanta,Medium,Low,"UX Research, Communication, Deep Learning, Power BI, Tableau",86326,Yes,Stable,25,20
Cybersecurity Analyst,Education,Large,Los Angeles,High,Medium,"Deep Learning, Cybersecurity, SQL, DevOps",71466,No,Growth,51,61
Business Analyst,Government,Large,Austin,High,Medium,"Java, Financial Modeling, Python",89385,No,Stable,50,52
Supply Chain Manager,Manufacturing,Medium,Denver,Low,Medium,"SQL, Data Analysis",51756,No,Stable,55,44
Sales Manager,Retail,Small,Chicago,Medium,Medium,"NLP, Communication",79440,Yes,Stable,36,15
HR Manager,Healthcare,Small,Austin,High,High,"Java, Machine Learning, NLP, Cybersecurity, SQL",76371,No,Growth,62,50
Software Engineer,Retail,Small,Boston,Medium,Low,"Java, Tableau, Project Management, Agile",112592,No,Growth,23,30
Machine Learning Engineer,Government,Small,Chicago,Low,Low,"Deep Learning, Java, Data Analysis, Python, Communication",82085,Yes,Stable,15,14
Legal Advisor,Media & Entertainment,Small,Chicago,Low,High,"Cloud Computing, Leadership, NLP",56430,No,Stable,77,72
Customer Service Rep,Finance,Large,New York,High,Low,"Python, Java, Agile",112074,Yes,Stable,33,31
Healthcare Administrator,Technology,Medium,Seattle,Medium,Low,"Cloud Computing, Agile, Data Analysis",64832,No,Growth,13,2
Healthcare Administrator,Manufacturing,Large,Los Angeles,High,High,"Marketing Strategy, Communication, Python, DevOps",84402,No,Decline,72,74
Graphic Designer,Media & Entertainment,Small,San Francisco,Medium,Medium,"Project Management, UX Research, Java, Financial Modeling",87401,Yes,Growth,59,41
UX Designer,Finance,Medium,Remote,Low,Medium,"Java, Financial Modeling, UX Research, Data Analysis, Cybersecurity",78972,No,Growth,68,62
Customer Service Rep,Energy,Large,Boston,Medium,High,"Cloud Computing, Project Management, NLP, Excel",69885,No,Decline,86,78
Business Analyst,Transportation,Small,Atlanta,Low,High,"Deep Learning, Machine Learning, Data Analysis",35138,Yes,Stable,86,83
Marketing Analyst,Government,Small,Remote,Medium,High,"Marketing Strategy, SQL, Excel",55626,No,Decline,82,72
Product Manager,Technology,Medium,Denver,Medium,Medium,"UX Research, Financial Modeling, Cybersecurity, Cloud Computing, NLP",89668,No,Stable,49,48
HR Manager,Manufacturing,Large,Atlanta,High,High,"Power BI, Financial Modeling, Communication, Leadership",66315,Yes,Decline,84,77
Graphic Designer,Healthcare,Large,Chicago,Low,Low,"Financial Modeling, DevOps, Machine Learning, Power BI, Data Analysis",82136,No,Growth,15,11
Logistics Coordinator,Technology,Medium,Seattle,High,High,"Project Management, Cybersecurity",67925,Yes,Stable,75,58
Business Analyst,Energy,Small,San Francisco,Medium,Medium,"Power BI, Python, NLP",89539,No,Growth,59,61
Software Engineer,Manufacturing,Medium,Austin,Medium,Low,"Agile, DevOps, NLP, Tableau",106235,No,Growth,39,31
Financial Analyst,Retail,Large,Chicago,High,Low,"SQL, Cybersecurity",100664,Yes,Stable,17,10
Data Scientist,Technology,Medium,New York,High,Low,"Agile, Python, Cloud Computing, Cybersecurity",102073,No,Growth,37,32
Supply Chain Manager,Media & Entertainment,Medium,Boston,Medium,Medium,"Machine Learning, UX Research, SQL, Excel, Agile",55981,Yes,Growth,56,58
Content Writer,Energy,Medium,San Francisco,Medium,Medium,"Data Analysis, Communication, Marketing Strategy",80016,No,Growth,52,34
Data Scientist,Education,Medium,Austin,High,Low,"Communication, Power BI, Project Management, Cybersecurity, Java",100637,No,Growth,26,23
UX Designer,Finance,Medium,Boston,Medium,Medium,"Power BI, UX Research, Financial Modeling, Agile",87594,Yes,Stable,70,73
Content Writer,Government,Small,Austin,Medium,Low,"Communication, Java",88881,Yes,Stable,29,23
Cybersecurity Analyst,Transportation,Medium,Atlanta,Medium,Low,"Deep Learning, Agile, Data Analysis",127379,Yes,Growth,0,0
Software Engineer,Finance,Medium,Seattle,High,High,"Python, Cloud Computing",80486,Yes,Growth,87,77
Cybersecurity Analyst,Technology,Large,Boston,Low,High,"Marketing Strategy, Agile, UX Research, Excel, Java",40790,Yes,Growth,86,93
Sales Manager,Energy,Medium,Boston,Medium,Medium,"Java, Agile, UX Research",80815,No,Growth,70,58
Accountant,Healthcare,Medium,Los Angeles,Medium,Medium,"Power BI, Deep Learning, Java, Financial Modeling",79537,Yes,Decline,54,48
Product Manager,Energy,Large,San Francisco,Medium,Low,"Python, Leadership, Agile, NLP",117392,No,Growth,28,21
DevOps Engineer,Manufacturing,Large,Denver,Medium,Medium,"NLP, Marketing Strategy, Excel, Tableau, DevOps",80725,No,Stable,51,28
HR Manager,Education,Large,New York,High,Low,"Agile, Leadership, Tableau, SQL, Java",93415,No,Stable,15,19
Logistics Coordinator,Government,Medium,Austin,Low,High,"NLP, DevOps, SQL, Python",46898,Yes,Decline,91,79
Machine Learning Engineer,Transportation,Medium,Denver,Low,Medium,"NLP, Data Analysis, Excel, Cybersecurity",78515,Yes,Decline,57,55
Healthcare Administrator,Retail,Small,Remote,Medium,High,"Python, Leadership, Data Analysis",57434,No,Decline,100,97
HR Manager,Media & Entertainment,Medium,Boston,Low,High,"Machine Learning, DevOps, Power BI, Python, Tableau",39497,Yes,Decline,77,68
UX Designer,Government,Large,New York,Medium,Low,"UX Research, Machine Learning, DevOps, Leadership",104523,No,Stable,29,11
Machine Learning Engineer,Finance,Large,Austin,Medium,High,"Tableau, Java, Power BI, Cloud Computing",77683,No,Decline,92,78
Customer Service Rep,Education,Medium,Denver,High,Medium,"Deep Learning, Communication, Agile",78489,Yes,Stable,60,43
Data Scientist,Healthcare,Small,Austin,Low,Low,"Financial Modeling, Power BI",103336,No,Growth,20,32
HR Manager,Transportation,Large,Atlanta,Medium,Low,"Leadership, Machine Learning, Project Management, Excel, UX Research",126751,No,Growth,26,13
Financial Analyst,Retail,Small,Denver,Low,High,"Python, Cybersecurity, Deep Learning, Leadership",43852,Yes,Decline,67,70
Logistics Coordinator,Government,Small,Seattle,Medium,Low,"Cloud Computing, Cybersecurity",98271,Yes,Growth,19,11
Content Writer,Energy,Medium,Denver,Medium,Medium,"Excel, Financial Modeling, Marketing Strategy, DevOps, NLP",107595,No,Stable,64,59
Cybersecurity Analyst,Technology,Medium,Denver,Low,High,"DevOps, Communication",56313,Yes,Stable,78,89
Software Engineer,Government,Small,Chicago,Medium,Medium,"Agile, Data Analysis",81375,No,Growth,41,38
Customer Service Rep,Manufacturing,Medium,Chicago,Low,Medium,"DevOps, Marketing Strategy",62139,Yes,Stable,62,47
Cybersecurity Analyst,Energy,Small,Austin,Low,Medium,"Project Management, Power BI, Data Analysis",80984,Yes,Growth,60,62
Marketing Analyst,Energy,Small,Austin,High,High,"Tableau, Cloud Computing, Marketing Strategy, Power BI",80744,No,Growth,75,78
Sales Manager,Technology,Small,Boston,Medium,Medium,"Machine Learning, DevOps, Deep Learning",83712,Yes,Growth,38,25
Sales Manager,Transportation,Large,Atlanta,Medium,Medium,"Marketing Strategy, Excel, NLP",78740,No,Growth,58,40
Business Analyst,Technology,Large,Denver,High,Medium,"Deep Learning, Project Management, NLP",76256,Yes,Growth,46,31
Marketing Analyst,Retail,Small,Chicago,High,Low,"Leadership, Financial Modeling, UX Research, Java, NLP",113756,Yes,Stable,25,28
Customer Service Rep,Government,Small,Chicago,Medium,High,"Java, Machine Learning",51563,No,Stable,70,61
Financial Analyst,Retail,Large,Seattle,Medium,Medium,"SQL, Deep Learning",84535,No,Stable,44,38
Logistics Coordinator,Technology,Medium,San Francisco,Low,Medium,"Leadership, Tableau",81096,No,Growth,52,46
Graphic Designer,Healthcare,Large,San Francisco,Medium,Low,"Data Analysis, Agile",78676,No,Decline,32,36
Customer Service Rep,Government,Large,Chicago,Low,Low,"Financial Modeling, Power BI, Leadership, Cloud Computing, Machine Learning",107934,Yes,Growth,34,29
Business Analyst,Finance,Large,Boston,High,High,"Cybersecurity, Leadership, Financial Modeling",59469,Yes,Decline,78,67
Logistics Coordinator,Government,Small,Denver,Medium,Medium,"Financial Modeling, NLP, Agile, Python",61193,No,Growth,53,62
Customer Service Rep,Technology,Small,Remote,Medium,High,"NLP, Agile, Tableau, Cloud Computing",63383,No,Decline,63,65
Graphic Designer,Transportation,Large,Remote,Low,High,"Cloud Computing, Excel",48546,No,Decline,82,75
Legal Advisor,Retail,Small,Remote,High,Low,"Data Analysis, Power BI, Leadership",88416,No,Growth,48,29
Cybersecurity Analyst,Technology,Large,Seattle,Medium,High,"Communication, Marketing Strategy, Project Management, SQL",62841,Yes,Decline,57,57
Content Writer,Finance,Large,San Francisco,High,High,"Data Analysis, SQL",58658,Yes,Decline,73,83
Software Engineer,Technology,Small,Boston,Medium,High,"UX Research, Java, Cloud Computing, Power BI, Tableau",60450,No,Stable,78,66
Accountant,Media & Entertainment,Small,Chicago,Low,High,"Excel, UX Research, DevOps, SQL, Data Analysis",39258,No,Growth,73,62
Logistics Coordinator,Education,Small,Austin,Medium,Medium,"UX Research, Financial Modeling, Leadership, NLP",67631,Yes,Stable,53,38
Cybersecurity Analyst,Government,Medium,Chicago,High,Low,"Cybersecurity, Java, Cloud Computing, Financial Modeling, SQL",101268,Yes,Growth,27,13
Logistics Coordinator,Media & Entertainment,Small,Seattle,Medium,High,"Data Analysis, Marketing Strategy, Cloud Computing, Deep Learning",68253,No,Growth,79,76
Software Engineer,Manufacturing,Large,Denver,Low,Medium,"Marketing Strategy, Excel, Data Analysis",73223,No,Decline,50,45
Financial Analyst,Healthcare,Large,Remote,High,High,"Project Management, Power BI, Communication, Financial Modeling",41566,Yes,Decline,89,87
Logistics Coordinator,Manufacturing,Large,Los Angeles,High,Low,"Java, Deep Learning, Communication, Cloud Computing, Power BI",112734,No,Stable,25,11
Machine Learning Engineer,Education,Medium,San Francisco,Medium,Medium,"Cloud Computing, Machine Learning, Data Analysis, NLP",97739,Yes,Stable,34,29
Cybersecurity Analyst,Government,Small,Boston,Medium,Low,"SQL, NLP",102775,Yes,Stable,23,26
Marketing Analyst,Finance,Medium,Chicago,Medium,Low,"Data Analysis, Cybersecurity, Marketing Strategy",112289,No,Decline,27,28
Product Manager,Energy,Large,Los Angeles,Medium,High,"Python, Communication, UX Research, Financial Modeling, Project Management",38059,Yes,Decline,81,59
Product Manager,Transportation,Medium,Los Angeles,High,High,"Python, Marketing Strategy, Deep Learning, Data Analysis, Communication",77294,Yes,Stable,75,61
Cybersecurity Analyst,Education,Small,Remote,High,Low,"Deep Learning, NLP, Financial Modeling, Data Analysis, Tableau",112429,No,Decline,30,1
Software Engineer,Transportation,Medium,Seattle,Medium,Low,"Data Analysis, Leadership, Tableau",82405,Yes,Growth,13,3
Product Manager,Finance,Medium,Denver,Low,Low,"Communication, NLP",90156,No,Growth,24,9
Sales Manager,Healthcare,Medium,Seattle,Medium,Medium,"Power BI, Agile, Excel, Marketing Strategy, Leadership",53835,Yes,Decline,57,37
Sales Manager,Technology,Medium,Atlanta,High,Medium,"UX Research, Cybersecurity, Agile",70567,No,Decline,52,41
Marketing Analyst,Technology,Small,Seattle,Medium,Medium,"Financial Modeling, UX Research",77169,Yes,Decline,62,41
Customer Service Rep,Retail,Small,New York,Medium,Medium,"Machine Learning, Marketing Strategy",73274,No,Stable,56,44
Legal Advisor,Retail,Small,New York,High,Low,"Financial Modeling, UX Research, Cybersecurity, NLP, Project Management",116582,No,Stable,18,16
Data Scientist,Education,Medium,San Francisco,High,Low,"Cybersecurity, Data Analysis",91668,No,Stable,31,25
Business Analyst,Government,Small,Denver,Low,Medium,"Communication, Tableau, Leadership, NLP",80719,No,Growth,60,34
Cybersecurity Analyst,Energy,Medium,Austin,High,Low,"Cybersecurity, NLP, Financial Modeling, Data Analysis",112913,Yes,Stable,27,29
Cybersecurity Analyst,Manufacturing,Large,Seattle,Medium,High,"DevOps, Excel, Java",67925,Yes,Growth,91,100
Accountant,Transportation,Small,Denver,High,High,"Excel, Cloud Computing, Leadership, Tableau",43277,No,Stable,76,69
Cybersecurity Analyst,Transportation,Small,New York,Medium,Low,"Excel, Power BI, Python, Project Management, UX Research",83117,Yes,Stable,3,0
Customer Service Rep,Manufacturing,Small,New York,Low,High,"Power BI, Agile, Project Management, Python, Cloud Computing",67268,No,Stable,81,82
Marketing Analyst,Media & Entertainment,Large,Denver,High,Low,"Machine Learning, Financial Modeling, Communication",123521,No,Stable,19,25
Sales Manager,Education,Small,Atlanta,Medium,Medium,"Deep Learning, Python, Java, DevOps, Excel",85956,No,Stable,62,61
Business Analyst,Education,Medium,Seattle,Medium,Low,"Power BI, Agile, Cloud Computing",126478,No,Stable,21,18
Logistics Coordinator,Education,Small,Atlanta,Medium,Low,"NLP, Deep Learning",103829,No,Stable,28,17
Graphic Designer,Technology,Medium,San Francisco,Low,Medium,"Tableau, Communication, Project Management, Agile, Excel",74237,No,Decline,61,50
UX Designer,Retail,Small,San Francisco,High,Medium,"Machine Learning, SQL, Agile, NLP, Marketing Strategy",100613,Yes,Growth,46,32
Business Analyst,Retail,Small,Boston,Medium,High,"Cloud Computing, Project Management, Leadership, Financial Modeling, SQL",66092,Yes,Stable,80,74
Business Analyst,Energy,Medium,Austin,Medium,Low,"NLP, UX Research, Excel, Data Analysis",88827,No,Stable,22,10
DevOps Engineer,Education,Large,New York,Medium,High,"Excel, DevOps, SQL",56467,No,Stable,89,94
DevOps Engineer,Technology,Medium,New York,Low,High,"Leadership, Marketing Strategy, Tableau, Cloud Computing",53823,No,Growth,69,65
Software Engineer,Education,Small,San Francisco,Medium,Medium,"Data Analysis, Communication, SQL, Financial Modeling, Cybersecurity",67069,Yes,Growth,51,55
Financial Analyst,Finance,Medium,Denver,Medium,Low,"Power BI, UX Research, Python, NLP, Tableau",92553,No,Decline,1,4
Software Engineer,Manufacturing,Medium,Boston,Medium,High,"Agile, Python, Data Analysis",31472,Yes,Decline,86,79
Graphic Designer,Energy,Large,Seattle,Low,Low,"Excel, Communication, Deep Learning",102575,Yes,Stable,19,0
Content Writer,Education,Medium,Austin,Low,Medium,"SQL, Cybersecurity, Excel, Marketing Strategy, Cloud Computing",79356,No,Stable,50,54
Business Analyst,Technology,Large,New York,High,Low,"Leadership, Agile, Data Analysis, Cloud Computing",101326,Yes,Growth,44,39
Legal Advisor,Government,Small,Boston,Low,Medium,"DevOps, Financial Modeling, Java, SQL, Communication",75671,No,Stable,67,71
Accountant,Media & Entertainment,Medium,Chicago,Low,High,"SQL, Data Analysis, Cloud Computing, UX Research, Communication",72639,Yes,Stable,80,97
Graphic Designer,Technology,Large,San Francisco,Medium,High,"Data Analysis, Power BI",35342,Yes,Stable,73,80
Graphic Designer,Manufacturing,Medium,Boston,High,High,"Cybersecurity, Project Management, Deep Learning, UX Research",67370,No,Decline,95,82
Accountant,Retail,Medium,Remote,Low,Low,"SQL, Machine Learning, UX Research",90346,Yes,Growth,40,32
Sales Manager,Government,Small,Denver,Medium,Medium,"Project Management, Java, UX Research, Deep Learning, Cybersecurity",78959,No,Growth,61,64
DevOps Engineer,Media & Entertainment,Large,Seattle,Low,Medium,"Cybersecurity, Cloud Computing",64350,No,Decline,60,51
UX Designer,Transportation,Medium,Denver,High,Medium,"Project Management, Tableau",91911,No,Decline,31,21
Supply Chain Manager,Technology,Medium,San Francisco,High,High,"UX Research, Cloud Computing",81281,Yes,Decline,61,53
Legal Advisor,Healthcare,Small,Austin,Low,Low,"Tableau, Excel, SQL, Communication, Data Analysis",120282,No,Growth,22,9
UX Designer,Finance,Medium,Remote,Medium,Low,"Communication, Agile, Cybersecurity, Marketing Strategy, DevOps",98443,No,Growth,20,21
Data Scientist,Retail,Small,Atlanta,Low,High,"Machine Learning, Tableau, Deep Learning, Java, Marketing Strategy",45068,No,Stable,66,59
Data Scientist,Healthcare,Medium,Remote,Low,Medium,"Cloud Computing, Data Analysis",82943,No,Growth,60,47
Healthcare Administrator,Healthcare,Medium,Los Angeles,Medium,Medium,"Machine Learning, DevOps",76639,No,Stable,53,47
Supply Chain Manager,Education,Medium,Boston,Low,Medium,"NLP, Excel, Marketing Strategy",74972,No,Decline,77,71
Product Manager,Media & Entertainment,Small,Remote,Medium,Low,"Cybersecurity, DevOps, Machine Learning, Financial Modeling, Leadership",102986,No,Decline,21,11
Business Analyst,Technology,Medium,New York,Low,Medium,"Leadership, Communication, Machine Learning, UX Research, Tableau",75131,No,Stable,52,32
Healthcare Administrator,Manufacturing,Small,New York,Low,Medium,"Java, Deep Learning",87988,Yes,Stable,56,49
Legal Advisor,Finance,Small,Denver,Low,Medium,"DevOps, Cybersecurity, UX Research, Marketing Strategy, Cloud Computing",82574,No,Stable,75,56
Marketing Analyst,Media & Entertainment,Medium,Los Angeles,High,High,"Project Management, Cybersecurity",39979,No,Decline,94,100
Healthcare Administrator,Government,Large,Remote,Low,High,"SQL, UX Research, Project Management, NLP, Tableau",43701,No,Stable,81,75
Accountant,Transportation,Medium,Boston,Medium,Low,"Financial Modeling, Project Management, Leadership, Deep Learning, Tableau",116468,Yes,Growth,39,36
Data Scientist,Transportation,Large,New York,Medium,High,"Excel, Java, Power BI, Leadership, Data Analysis",40701,No,Growth,79,75
Content Writer,Education,Medium,Chicago,High,High,"Leadership, Cloud Computing, Marketing Strategy",74926,Yes,Decline,61,50
HR Manager,Education,Medium,Denver,High,Medium,"Marketing Strategy, Agile, SQL, Cybersecurity, Project Management",76802,No,Decline,54,49
DevOps Engineer,Finance,Medium,Remote,High,High,"Leadership, NLP, Financial Modeling, DevOps, UX Research",79489,Yes,Decline,70,76
Product Manager,Energy,Small,Austin,Medium,High,"Python, Deep Learning",47311,Yes,Decline,79,69
HR Manager,Retail,Medium,New York,Medium,High,"Tableau, Agile, UX Research",47900,No,Decline,76,68
Legal Advisor,Technology,Small,San Francisco,Medium,Low,"Financial Modeling, SQL, Communication, Marketing Strategy",105822,Yes,Growth,37,30
Content Writer,Energy,Large,Austin,Low,Low,"UX Research, Leadership",73922,Yes,Stable,14,8
Cybersecurity Analyst,Media & Entertainment,Large,Boston,Medium,Medium,"Cybersecurity, Project Management, SQL, Python",84718,No,Decline,53,51
Cybersecurity Analyst,Energy,Small,Remote,High,High,"NLP, Marketing Strategy, Machine Learning, Cybersecurity",73478,No,Decline,90,76
Software Engineer,Transportation,Medium,Austin,Medium,Medium,"Leadership, Tableau",75551,No,Stable,43,27
Software Engineer,Energy,Medium,Atlanta,Medium,Medium,"Financial Modeling, Cybersecurity",68666,No,Growth,61,49
Graphic Designer,Healthcare,Medium,Boston,Low,Low,"Java, Cloud Computing, Power BI, Python",92998,No,Growth,35,20
Graphic Designer,Finance,Small,Remote,Medium,Low,"Communication, Cloud Computing",91666,No,Growth,18,0
Marketing Analyst,Healthcare,Medium,Boston,High,Medium,"Java, Financial Modeling, Cybersecurity",82068,No,Stable,59,45
Sales Manager,Media & Entertainment,Small,Chicago,Medium,Low,"Cloud Computing, Excel, Communication, Power BI",104617,No,Stable,23,11
Accountant,Transportation,Medium,San Francisco,Medium,Medium,"Java, Agile, Deep Learning, Machine Learning",76909,Yes,Decline,46,41
UX Designer,Media & Entertainment,Medium,Los Angeles,Low,Low,"Java, Excel",88162,Yes,Stable,25,15
Financial Analyst,Technology,Medium,Austin,Medium,Low,"Data Analysis, Machine Learning, Financial Modeling",103587,No,Stable,44,25
Logistics Coordinator,Education,Small,Remote,High,Low,"Tableau, Machine Learning, Project Management",93051,Yes,Stable,25,18
Graphic Designer,Government,Small,Seattle,Medium,High,"SQL, Machine Learning, Project Management, Tableau, Java",53187,No,Stable,71,78
Data Scientist,Education,Small,New York,Medium,Low,"Excel, UX Research, NLP",82376,No,Growth,30,37
